en;et
CLICK TO CHANGE BETWEEN COIN AND MONEY VIEW;KLÕPSA MÜNTIDE JA RAHA VAATE VAHETAMISEKS
RTP;RTP
Max Win;Maksimaalne võit
Mio.;Mio.
Max Payout Reached!;Maksimaalne väljamakse saavutatud!
Replay Initializing;Taasesituse alustamine
Replay Has Ended;Taasesitus on lõppenud
Date;Kuupäev
Play Id;Mängu ID
Win;Võit
YOUR ACCOUNT BALANCE IS TOO LOW TO PLACE THIS BET.;TEIE SALDO ON LIIGA MADAL SELLE PANUSE TEGEMISEKS.
Return To Player:;Kasum mängijale:
Buy Feature:;Ostetav voor:
UST;UST
OK;OK
Bad request;Bad request
Invalid client IP;Invalid client IP
Invalid country;Invalid country
Jurisdiction not found;Jurisdiction not found
Jurisdiction settings not found;Jurisdiction settings not found
Invalid operator;Invalid operator
Game not configured for the operator;Game not configured for the operator
Game not enabled for the operator;Game not enabled for the operator
Invalid game;Invalid game
Invalid game status;Invalid game status
Currency is not configured for the game;Currency is not configured for the game
Invalid currency status;Invalid currency status
Default currency not found;Default currency not found
Invalid default currency status;Invalid default currency status
Jurisdiction not configured for the game;Jurisdiction not configured for the game
Invalid jurisdiction for the game;Invalid jurisdiction for the game
Language not configured for the game;Language not configured for the game
Invalid language status;Invalid language status
Default language not found;Default language not found
Default language status not valid;Default language status not valid
Bet levels not found;Bet levels not found
Integration not found;Integration not found
Session expired;Session expired
Game Engine Bad Response;Game Engine Bad Response
Insufficient funds;Insufficient funds
Internal error;Internal error
Message;Message
Start Balance;Start Balance
End Balance;End Balance
Your session has now exceeded;Your session has now exceeded
You can continue playing the game or review your Game History.;You can continue playing the game or review your Game History.
HISTORY;HISTORY
Replay;Replay
OK;OK
FEATURES;FEATURES
Autoplay stopped because loss limit was reached.;Autoplay stopped because loss limit was reached.
