en;cn;tw;ja;ko;id;th;vi;pt;es;ru;fr;sv;de;fi;no;tr;lv;et;lt;pl;nl;ro;gp;sx;el;ys
Launch Game History to see the results of previous games you've played;启动游戏历史记录以查看您以前玩过的游戏的结果;開啟遊戲記錄，查閱您之前玩的遊戲結果;ゲーム履歴を開いて以前にプレイしたゲームの結果を確認できます;플레이한 이전 게임의 결과를 보려면 게임 기록을 실행하세요;Buka Riwayat Permainan untuk melihat hasil permainan sebelumnya yang telah Anda mainkan;เปิดประวัติเกมเพื่อดูผลลัพธ์ของเกมที่คุณเล่นไปก่อนหน้านี้;Khởi chạy Lịch sử Ván chơi để xem kết quả của các ván chơi trước đó bạn đã chơi;Abra o Histórico de Jogo para ver os resultados dos jogos anteriores que você jogou;Abre el Historial de juego para ver los resultados de las partidas anteriores;Запустите Историю игры для просмотра результатов ранее сыгранных вами игр;Lancez l'historique des parties pour voir les résultats des parties précédentes auxquelles vous avez joué;Öppna spelhistoriken för att se resultatet av tidigare spel du har spelat;Starte den Spielverlauf, um die Ergebnisse früherer Spiele zu sehen, die du gespielt hast;Avaa Pelihistoria nähdäksesi aiemmin pelaamiesi pelien tulokset;Start spillhistorikk for å se resultatene av tidligere spill du har spilt;Oynadığın önceki oyunların sonuçlarını görmek için Oyun Geçmişini başlat;Atveriet spēles vēsturi, lai redzētu iepriekš izspēlēto spēļu rezultātus;Käivita mängude ajalugu, et näha eelmiste mängude tulemusi, mida oled mänginud;Įjunkite žaidimo istoriją, kad pamatytumėte praėjusių žaistų žaidimų rezultatus;Uruchom Historię gry, aby zobaczyć wyniki poprzednich gier;Start Spelgeschiedenis om de resultaten te bekijken van eerdere spellen die je hebt gespeeld;Lansați Istoricul jocului pentru a vedea rezultatele jocurilor anterioare pe care le-ați jucat;Launch Game History to see the results of previous games you've played;Launch Game History to see the results of previous games you've played;Ξεκινήστε το Ιστορικό παιχνιδιού για να δείτε τα αποτελέσματα των προηγούμενων παιχνιδιών που έχετε παίξει;Launch Game History to see the results of previous games you've played
Show More;显示更多;顯示更多;詳細表示;더 보기;Tampilkan Lebih Banyak;แสดงเพิ่มเติม;Hiển thị thêm;Mostrar mais;Mostrar más;Показать Больше;Afficher plus;Visa mer;Mehr anzeigen;Näytä lisää;Vis mer;Daha Fazla Göster;Rādīt vairāk;Näita rohkem;Rodyti daugiau;Pokaż więcej;Toon meer;Afișați mai mult;Show More;Show More;Εμφάνιση περισσότερων;Show More
START;开始;開始;開始;시작;MULAI;เริ่ม;BẮT ĐẦU;INICIAR;INICIAR;НАЧАТЬ;COMMENCER;START;START;ALOITA;START;BAŞLA;SĀKT;ALUSTA;PRADĖTI;START;STARTEN;START;START;START;ΕΝΑΡΞΗ;START
STOP;停止;停止;ストップ;중지;BERHENTI;หยุด;DỪNG;PARE;PARO;СТОП;STOP;STOPP;STOP;PYSÄYTÄ;STOPP;DURDUR;APURĒT;PEATA;STABDYTI;STOP;STOPPEN;OPRIRE;STOP;STOP;ΔΙΑΚΟΠΗ;STOP
Game(s) Ago;局游戏之前;局遊戲之前;ゲーム前;게임 전;Permainan yang Lalu;เกมที่ผ่านมา;Ván Chơi Trước;Jogo(s) atrás;Partida(s) atrás;Игр(ы) назад;parties depuis;Spel sedan;Spiel(e) zuvor;Peli(ä) sitten;Spill siden;Oyun Önce;Pirms šāda spēļu skaita;Mäng(u) tagasi;Žaidimas (-ai) prieš;Liczba poprzednich gier;Spel(len) geleden;Cu un joc (jocuri) în urmă;Game(s) Ago;Game(s) Ago;Πριν από παιχνίδι(-α);Game(s) Ago
Some Error Occured, please reload your page;发生某个错误，请重新加载页面;發生一些錯誤，請重新載入您的頁面;エラーが発生しました、ページを再読み込みしてください;오류가 발생했습니다. 페이지를 새로고침하세요.;Terjadi Kesalahan, silakan muat ulang halaman Anda;เกิดข้อผิดพลาดบางอย่างขึ้น โปรดโหลดหน้าเว็บของคุณใหม่;Đã xảy ra lỗi, vui lòng tải lại trang của bạn;Ocorreu um erro. Recarregue a sua página;Ocurrió un error, vuelve a cargar la página;Произошла ошибка. Перезагрузите страницу;Une erreur s'est produite, veuillez recharger votre page;Ett fel uppstod. Ladda om sidan;Ein Fehler ist aufgetreten, bitte lade die Seite neu;Tapahtui jokin virhe, lataa sivusi uudelleen;Det oppstod en feil, vennligst last inn siden din på nytt;Bazı Hatalar Oluştu. Lütfen sayfanızı yeniden yükleyin;Radās kļūda. Lūdzu, atkārtoti ielādējiet savu lapu;Tekkis viga, laadi leht uuesti;Įvyko klaida, įkelkite puslapį iš naujo;Wystąpił błąd, załaduj ponownie stronę;Er is een fout opgetreden, laad je pagina opnieuw;A apărut o eroare, reîncărcați pagina;Some Error Occured, please reload your page;Some Error Occured, please reload your page;Παρουσιάστηκε κάποιο σφάλμα, επαναλάβετε τη φόρτωση της σελίδας σας;Some Error Occured, please reload your page
Round;回合;回合;ラウンド;라운드;Babak;รอบ;Vòng;Rodada;Ronda;Раунд;Manche;Runda;Runde;Kierros;Runde;Tur;Kārta;Voor;Raundas;Runda;Ronde;Runda;Round;Round;Γύρος;Round
 will be charged from your balance; 将从您的余额中扣除; 將從您的餘額中扣除; はお客様の残高から請求されます。;<X>(이)가 잔액에서 청구됩니다.; akan dikenakan biaya dari saldo Anda; จะถูกเรียกเก็บเงินจากยอดคงเหลือของคุณ; sẽ được tính phí từ số dư của bạn; será cobrado do seu saldo; se descontarán de su saldo; будет снято с вашего баланса; sera débité de votre solde; debiteras från ditt saldo; wird von Ihrem Guthaben abgebucht; veloitetaan saldostasi; vil bli belastet fra saldoen din; bakiyenizden düşülecek; tiks iekasēts no jūsu atlikuma; võetakse tasu teie saldolt; bus nuskaityta iš jūsų likučio; zostanie pobrane z Twojego salda; zal van uw saldo worden afgetrokken; will be charged from your balance; will be charged from your balance; will be charged from your balance;θα χρεωθεί ποσό [Amount] από το υπόλοιπό σας; will be charged from your balance
 Bet will be used in Feature and in game once Feature completes; 赌注将用于特殊环节以及完成特殊环节后的游戏中; 賭注將用於特殊環節以及完成特殊環節後的遊戲中; ベットは機能で使用され、機能が完了 するとゲームで使用されます。; 베팅을 사용할 수 있습 피처를 한번 갖추면 피처 및 인게임에서니다.; Taruhan akan digunakan dalam Fitur dan dalam permainan setelah Fitur selesai; การเดิมพันจะถูกใช้ในฟีเจอร์และในเกมเมื่อฟีเจอร์จบลง; Bet sẽ được dùng trong tính năng mau và trong màn chơi sau khi hoàn tất; Aposta será usada no Recurso e nojogo quando o Recurso for concluído; Apuesta se usará en las funcionalidades y características del juego y en el juego cuando se cumplan las  funcionalidades y características; Ставка будет применяться во время действия функции, а также после ее завершения; La mise sera utilisée dans la Fonction et dans le jeu une fois la Fonction terminée.; Insatsen kommer att användas i Feature och i spelet när Feature är klar; Die Wette wird im Feature und im Spiel verwendet, sobald das Feature abgeschlossen ist; Panosta käytetään toiminnossa ja pelissä, kun toiminto on suoritettu; Innsats vil bli brukt i funksjonen og i spillet så snart funksjonen fullføres; Bahis Özellik tamamlandığında hem Özellikte hem de oyun içinde  kullanılacak; Likme tiks izmantota Papildspēlē un spēlē pēc Papildspēles beigām; Panust kasutatakse boonusvoorus ja põhimängus pärast boonusvooru lõppemist; Statymas bus naudojamas veikiant Funkcijai ir lošime, kai Funkcija baigs veikti; Zakład zostanie wykorzystany wdodatku i w grze po zakończeniu dodatku; Inzet zal worden gebruikt in Functie en in het game zodra Functie is voltooid; Bet will be used in Feature and in game once Feature completes;Play amount will be used in Feature and  in game once Feature completes;Play amount will be used in Feature and in game once Feature completes;Το ποντάρισμα θα χρησιμοποιηθεί στη Λειτουργία και εντός παιχνιδιού μόλις ολοκληρωθεί η Λειτουργία;Play amount will be used in Feature and in game once Feature completes
CONFIRM;确认;確認;確認;확인;KONFIRMASI;ยืนยัน;XÁC NHẬN;CONFIRMAR;CONFIRMAR;ПОДТВЕРДИТЬ;CONFIRMER;BEKRÄFTA;BESTÄTIGEN;VAHVISTA;BEKREFT;DOĞRULA;APSTIPRINĀT;KINNITA;PATVIRTINTI;POTWIERDŹ;BEVESTIGEN;CONFIRM;CONFIRM;CONFIRM;ΕΠΙΒΕΒΑΙΩΣΗ;CONFIRM
CREDIT VALUE;积分值;積分值;クレジットバリュー;크레딧 가치;NILAI KREDIT;มูลค่าเครดิต;GIÁ TRỊ TÍN DỤNG;VALOR DE CRÉDITO;VALOR DEL CREDITO;СТОИМОСТЬ В КРЕДИТАХ;VALEUR DU CRÉDIT;KREDITVÄRDE;KREDITWERT;KOLIKON ARVO;KREDITTVERDI;KREDI DEĞERI;KREDĪTA VĒRTĪBA;MÄNGUÜHIKU VÄÄRTUS;KREDITO VERTĖ;WARTOŚĆ KREDYTU;CREDITWAARDE;VALOARE CREDIT;CHIP VALUE;CHIP VALUE;ΑΞΙΑ ΠΙΣΤΩΣΗΣ;CHIP VALUE
HOLD SPACEBAR FOR TURBO SPIN;长按空格键进行加速旋转;按住空白鍵可使用 Turbo 旋轉;ターボスピンを目指し\nてスペースバーをホールドしてください;스페이스 바를 길\n게 눌러 터보 스핀;TEKAN BILAH SPASI UNTUK \n PUTARAN CEPAT;กดสเปซบาร์ค้างสำห\nรับการหมุนเทอร์โบ;GIỮ SPACEBAR \nĐỂ QUAY TURBO;SEGURE A BARRA DE\n ESPAÇO PARA GIRO TURBO;ESPERE A LA BARRA DE ESPACIOS \n PARA EL TURBO GIRO;ЗАЖАТЬ «ПРОБЕЛ»: \nТУРБОВРАЩЕНИЕ;MAINTENIR LA BARRE ESPACE \nPOUR LE TOUR TURBO;HÅLL MELLANSLAG FÖR TURBO-SPIN;SPACEBAR FÜR \nTURBO SPIN HALTEN;TURBOPYÖRÄYTYS PITÄMÄLLÄ\n VÄLILYÖNTI POHJASSA;HOLD NEDE SPACE FOR TURBOSPINN;TURBO DÖNÜŞ İÇİN BOŞLUK\n TUŞUNU BASILI TUTUN;TURIET NOSPIESTU ATSTARPES\n TAUSTIŅU, LAI VEIKTU TURBOGRIEZIENU;TURBOKEERUTUSEKS\n HOIDKE ALL TÜHIKUKLAHVI;LAIKYKITE TARPO \nKLAVIŠĄ TURBO SUKIMUI;PRZYTRZYMAJ SPACJĘ, \nABY UZYSKAĆ TURBO SPIN;HOUD DE SPATIEBALK\n INGEDRUKT VOOR TURBO SPIN;HOLD SPACEBAR FOR TURBO SPIN;HOLD SPACEBAR FOR TURBO SPIN;HOLD SPACEBAR FOR TURBO SPIN;ΚΡΑΤΗΣΤΕ ΠΑΤΗΜΕΝΟ ΤΟ ΠΛΗΚΤΡΟ\nΔΙΑΣΤΗΜΑΤΟΣ ΓΙΑ TURBO SPIN;HOLD SPACEBAR FOR TURBO SPIN
Balance;余额;餘額;残高;보유금;Saldo;คงเหลือ;Số dư;Saldo;Saldo;Баланс;Solde;Saldo;Balance;Saldo;Saldo;Bakiye;Atlikums;Saldo;Likutis;Saldo;Saldo;SOLDUL;Balance;Balance;Υπόλοιπο;Balance
WON;赢;贏;ウィン;우승;KEMENANGAN;รางวัล;THẮNG;GANHOU;GANÓ;ВЫИГРЫШ;VICTOIRE;VUNNA;GEWONNEN;VOITETTU;VUNNET;KAZANILAN;LAIMĒTS;VÕIT;LAIMĖTA;WYGRANA;GEWONNEN;CÂȘTIGAT;WON;WON;ΚΕΡΔΙΣΜΕΝΑ;WON
AUTO SPIN;自动旋转;自動旋轉;自動スピン;자동 스핀;PUTAR OTOMATIS;หมุนอัตโนมัติ;VÒNG QUAY TỰ ĐỘNG;AUTO GIRO;AUTOGIRO;АВТ. ВРАЩ.;TOUR AUTO;AUTOSPINN;AUTO SPIN;AUTOMAATTIPELI;AUTO SPIN;OTO DÖNDÜR;AUTOGRIEZIENS;AUTOKEERUTUS;AUTO SUKIMAS;ATOMATYCZNY SPIN;AUTO SPIN;ÎNVÂRTIRE AUTOMATĂ;AUTO SPIN;AUTO SPIN;Αυτόματη περιστροφή;AUTO SPIN
Number of Spins;旋转次数;旋轉次數;スピンの数;스핀 수;Jumlah Putaran;จำนวนของการหมุน;Số Lượt Quay;Número de Giros;Número de Giros;Число вращений;Nombre de Tours;Antal spel;Anzahl Drehungen;Kierrosten lukumäärä;Antall spinn;Döndürme Sayısı;Griezienu skaits;Keerutuste arv;Sukimų Skaičius;Liczba spinów;Aantal spins;Număr de învârtiri;Number of Spins;Number of Spins;Αριθμός περιστροφών;Number of Spins
TURBO SPIN ON;开启快速旋转;開啟快速旋轉;高速旋回オン;터보 스핀 켜기;PUTARAN TURBO NYALA;เปิดเทอร์โบสปิน;BẬT VÒNG QUAY TURBO;GIRO TURBO ON;TURBO GIRO ENCENDIDO;ТУРБО ВРАЩЕНИЕ ВКЛ.;TOUR TURBO ACTIVÉ;TURBOSPINN PÅ;TURBO SPIN EIN;TURBOPYÖRÄYTYS PÄÄLLÄ;TURBO SPIN PÅ;TURBO DÖNDÜRME AÇIK;TURBO GRIEZIENS IESLĒGTS;TURBOKEERUTUS SISSE;TURBOSUKIMAS ĮJUNGTAS;WŁĄCZ TURBO SPIN;TURBO SPIN AAN;ÎNVÂRTIRE TURBO PORNITĂ;TURBO SPIN ON;TURBO SPIN ON;TURBO SPIN  ΕΝ.;TURBO SPIN ON
TURBO SPIN OFF;关闭快速旋转;關閉快速旋轉;高速旋回オフ;터보 스핀 끄기;PUTARAN TURBO MATI;ปิดเทอร์โบสปิน;TẮT VÒNG QUAY TURBO;GIRO TURBO OFF;TURBA GIRO APAGADO;ТУРБО ВРАЩЕНИЕ ВЫКЛ.;TOUR TURBO DÉSACTIVÉ;TURBOSPINN AV;TURBO SPIN OFF;TURBOPYÖRÄYTYS POIS PÄÄLTÄ;TURBO SPIN AV;TURBO DÖNDÜRME KAPALI;TURBO GRIEZIENS IZSLĒGTS;TURBOKEERUTUS VÄLJA;TURBOSUKIMAS IŠJUNGTAS;WYŁĄCZ TURBO SPIN;TURBO SPIN UIT;ÎNVÂRTIRE TURBO OPRITĂ;TURBO SPIN OFF;TURBO SPIN OFF;TURBO SPIN ΑΠΕΝ.;TURBO SPIN OFF
LINES;线;線;ライン;라인;BARIS;เส้น;DÒNG;LINHAS;LÍNEAS;ЛИНИИ;LIGNES;LINJER;LINIEN;VOITTOLINJAT;LINJER;SIRALAR;LĪNIJAS;LIINID;EILUTĖS;LINIE;LIJNEN;LINII;LINES;LINES;ΓΡΑΜΜΕΣ;LINES
BET\nMAX;最大\n赌注;最大\n賭注;最大ベ\n ット;최대 \n베팅;MAX \nTARUHAN;เดิมพัน\nสูงสุด;ĐẶTCƯỢC \nTỐI ĐA;APOSTA \nMÁXIMA;MÁXIMA \nAPUESTA;МАКС. \nСТАВКА;MISEMAX\nIMALE;SATSA \nMAX;WETTE \nMAX;MAKSIMI\nPANOS;SATS \nMAKS;MAKS. \nBAHİS;MAKS. \nLIKME;MAKSIMU\nMPANUS;MAKS. \nSTATYMAS;MAKS.LICZBA \n ZAKŁADÓW;MAX \nINZET;PARIU\nMAXIM;PLAY\nMAX;PLAY\nMAX;ΜΕΓ. ΠΟΝ\nΤΑΡΙΣΜΑ;PLAY\nMAX
TOTAL WON;总赢利;總贏利;合計勝利;총 우승;JUMLAH HADIAH;รางวัลทั้งหมด;TỔNG CHIẾN THẮNG ;TOTAL GANHADO;TOTAL GANADO;ИТОГО ВЫИГРЫШЕЙ;TOTAL GAGNÉ;VINST TOTALT;GESAMTER GEWINN;VOITTO YHTEENSÄ;TOTALT VUNNET;TOPLAM KAZANILAN;KOPĒJAIS LAIMESTS;VÕIDUD KOKKU;IŠ VISO LAIMĖTA;CAŁKOWITA WYGRANA;TOTAAL GEWONNEN;TOTAL CÂȘTIGAT;TOTAL WON;TOTAL WON;ΣΥΝΟΛΙΚΑ ΚΕΡΔΗ;TOTAL WON
UNTIL\nFEATURE;直到中奖;直到中獎;フィーチャ\n ーまで、;기능까지;HINGGA \n FITUR;จนถึงคุณ\nลั กษณะ;CHO TOI \nTINH NANG;ATÉ O \nRECURSO;HASTA LA \nFUNCIÓN;ДО ФУ\nНКЦИИ;JUSQU'À LA \nFONCTION;TILL \nFUNKTION;BIS ZUM \nFEATURE;KUNNES \nOMINAISUUDET;FREM TIL \nFUNKSJON;ÖZELLİĞE \nKADAR;LĪDZ \nIESPĒJAI;KUNI \nBOONUSENI;IKI \nFUNKCIJOS;AŻ DO \nKOŃCA;TOT \nFUNCTIE;     PÂNĂ LA\nSECVENȚĂ;UNTIL\nFEATURE;UNTIL\nFEATURE;ΕΩΣ ΛΕΙΤ\nΟΥΡΓΙΑ;UNTIL\nFEATURE
Time;时间;時間;時間;시간;Waktu;เวลา;Thời gian;Hora;Hora;Время;Heure;Tid;Zeit;Aika;Tid;Zaman;Laiks;Aeg;Laikas;Godzina;Tijd;Ora;Time;Time;Ώρα;Time
Net Position;净位置;淨輸贏;ネットポジション;순포지션;Posisi Bayaran Bersih;ตำแหน่งสุทธิ;Vị thế ròng;Posição líquida;Posición neta;Нетто-позиция;Position nette;Nettoposition;Nettoposition;Nettoasema;Nettposisjon;Net Pozisyon;Tīrais iznākums;Netopositsioon;Grynoji pozicija;Pozycja netto;Netto positie;Poziție netă;Net Position;Net Position;Καθαρή θέση;Net Position
AUTO\nSPIN;自动\n旋转;自動\n旋轉;自動\nスピン;자동\n스핀;PUTAR\nOTOMATIS;หมุนอัต\nโนมัติ;VÒNGQUAY\nTỰ ĐỘNG;AUTO\nGIRO;AUTO\nGIRO;АВТ.\nВРАЩ.;TOUR\nAUTO;AUTO\nSPINN;AUTO\nSPIN;AUTOMA\nATTIPELI;AUTO\nSPINN;OTO\nDÖNDÜR;AUTO\nGRIEZIENS;AUTO\nKEERUTUS;AUTO\nSUKIMAS;ATOMAT\nYCZNY\nSPIN;AUTO\nSPIN;ÎNVÂRTIRE\nAUTOMATĂ;AUTO\nSPIN;AUTO\nSPIN;Αυτόματη\nπεριστροφή;AUTO\nSPIN
CANCEL;取消;取消;キャンセル;취소;BATALKAN;ยกเลิก;KHÔNG ĐẶT;CANCELAR;CANCELADO;ОТМЕНА;ANNULER;AVBRYT;ABBRECHEN;PERUUTA;AVBRYT;İPTAL;ATCELT;TÜHISTA;ATŠAUKTI;ANULUJ;ANNULEREN;ANULARE;CANCEL;CANCEL;ΑΚΥΡΩΣΗ;CANCEL
Version;版本;版本;バージョン;버전;Versi;เวอร์ชั่น;Phiên bản;Versão;Versión;Версия;Version;Version;Version;Versio;Versjon;Sürüm;Versija;Versioon;Versija;Wersja;Versie;Versiune;Version;Version;Έκδοση;Version
CONGRATULATIONS!;恭喜！;恭喜！;CONGRATULATIONS!;축하합니다!;CONGRATULATIONS!;ขอแสดงความยินดี!;XIN CHÚC MỪNG!;PARABÉNS!;CONGRATULATIONS!;ПОЗДРАВЛЯЕМ!;CONGRATULATIONS!;GRATTIS!;HERZLICHEN GLÜCKWUNSCH!;ONNEA!;CONGRATULATIONS!;TEBRİKLER!;APSVEICAM!;ÕNNITLEME!;SVEIKINAME!;CONGRATULATIONS!;GEFELICITEERD!;FELICITĂRI!;CONGRATULATIONS!;CONGRATULATIONS!;ΣΥΓΧΑΡΗΤΗΡΙΑ!;CONGRATULATIONS!
You have been awarded;您赢得了;您已贏得;獲得しました;다음 항목을 받았습니다:;Anda telah mendapatkan;คุณได้รับรางวัล;Bạn đã được trao thưởng;Você foi premiado;Has ganado;Вы получили;Vous avez reçu;Du har tilldelats;Du erhältst;Sinulle on annettu;Du har blitt belønnet;Kazancınız:;Jums ir piešķirts;Oled saanud auhinna;Jums suteikta;Przyznano Ci;Aan jou toegekend;Ați primit;You have been awarded;You have been awarded;Κερδίσατε;You have been awarded
FREE SPINS!;免费旋转!;免費旋轉!;無料旋回!;프리스핀!;SPIN GRATIS!;ฟรีสปิน!;QUAY MIỄN PHÍ!;GIROS GRATUITOS!;GIROS GRATIS!;БЕСП. ВРАЩЕНИЯ!;TOURS GRATUITS!;GRATISSPINN!;KOSTENLOSE SPINS!;ILMAISKIERROKSET!;GRATISSPINN!;ÜCRETSİZ DÖNDÜRME!;BEZMAKSAS GRIEZIENI!;TASUTA KEERUTUSED!;NEMOKAMI SUKIMAI!;DARMOWE SPINY!;FREE SPINS!;FREE SPINS!;FREE SPINS!;FREE SPINS!;FREE SPINS!;FREE SPINS!
CONTINUE;继续;繼續;続ける;계속하기;LANJUTKAN;ต่อ;TIẾP TỤC;CONTINUAR;CONTINUA;ПРОДОЛЖИТЬ;CONTINUER;FORTSÄTT;FORTSETZEN;JATKA;FORTSETT;DEVAM;TURPINĀT;JÄTKA;TĘSTI;DALEJ;DOORGAAN;CONTINUE;CONTINUE;CONTINUE;ΣΥΝΕΧΕΙΑ;CONTINUE
Freespins will be played at {0} per spin;免费旋转将以每次旋转{0}进行;免費旋轉投注為每次旋轉{0};スピン１回につき{0}でフリースピンをプレイできます;무료 스핀은 스핀당 {0}로 진행됩니다.;Putaran gratis akan dimainkan pada {0} per putaran;การหมุนฟรีจะเล่นที่ราคา {0} ต่อการหมุน;Vòng quay miễn phí sẽ được chơi ở mức tiền cược {0} mỗi vòng quay;As partidas grátis serão jogadas a {0} por partida;Los giros gratis tienen un valor de {0} por giro;Бесплатные вращения будут разыграны по {0} за вращение;Les tours gratuits seront joués à {0} par tour;Gratissnurr spelas med {0} per snurr;Freispiele werden mit {0} pro Dreh gespielt;Ilmaiskierrokset pelataan panoksella {0} kierrosta kohden;Gratisspinn spilles til {0} per spinn;Ücretsiz döndürmeler, döndürme başına {0} olarak oynanır;Bezmaksas griezieni tiks spēlēti ar šādu likmi par griezienu: {0};Tasuta spinne mängitakse {0} spinni kohta;Nemokami sukimai bus žaidžiami {0} už vieną sukimą;Liczba obrotów darmowych rozgrywanych z następującym ustawieniem na każdy obrót: {0};Gratis rondes worden gespeeld voor {0} per ronde;Învârtirile gratuite vor fi jucate la {0} per învârtire;Freespins will be played at {0} per spin;Freespins will be played at {0} per spin;Οι δωρεάν περιστροφές θα παιχτούν με {0} ανά περιστροφή;Freespins will be played at {0} per spin
Pause;暂停;暫停;一時停止;일시 중지;Jeda;หยุดชั่วคราว;Tạm dừng;Pausar;Pausar;Пауза;Pause;Paus;Pause;Keskeytä;Pause;Duraklat;Apturēt;Peata;Pauzė;Wstrzymaj;Pauzeren;Pauză;Pause;Pause;Παύση;Pause
YOU HAVE WON;你赢了;你贏了;あなたは;YOU HAVE WON;ANDA TELAH MEMENANGKAN;คุณได้รับรางวัล;BẠN ĐÃ THẮNG;VOCÊ GANHOU;TÚ HAS GANADO;ВЫ ВЫИГРАЛИ;TU AS GAGNÉ;DU HAR VUNNIT;DU HAST GEWONNEN;SINÄ OLET VOITTANUT;DU HAR VUNNET;MEVCUT KAZANILAN;JŪS LAIMĒJĀT;OLETE VÕITNUD;LAIMĖJOTE;WYGRAŁEŚ;U HEBT;YOU HAVE WON;YOU HAVE WON;YOU HAVE WON;ΚΕΡΔΙΣΑΤΕ;YOU HAVE WON
