en;nl
Game not enabled for the operator;Game not enabled for the operator
Invalid game;Invalid game
Invalid game status;Invalid game status
Currency is not configured for the game;Currency is not configured for the game
Invalid currency status;Invalid currency status
Default currency not found;Default currency not found
Invalid default currency status;Invalid default currency status
Jurisdiction not configured for the game;Jurisdiction not configured for the game
Invalid jurisdiction for the game;Invalid jurisdiction for the game
Language not configured for the game;Language not configured for the game
Invalid language status;Invalid language status
Default language not found;Default language not found
Default language status not valid;Default language status not valid
Bet levels not found;Bet levels not found
Integration not found;Integration not found
Session expired;Session expired
Game Engine Bad Response;Game Engine Bad Response
Insufficient funds;Insufficient funds
Internal error;Internal error
Message;Message
Start Balance;Start Balance
End Balance;End Balance
Your session has now exceeded;Your session has now exceeded
You can continue playing the game or review your Game History.;You can continue playing the game or review your Game History.
HISTORY;HISTORY
Replay;Replay
OK;OK
FEATURES;FEATURES
Autoplay stopped because loss limit was reached.;Autoplay stopped because loss limit was reached.
